Generations no drug,Generations drug,MM fraction
2,2,0.33305538715835187
2,3,0.3132904087978029
2,4,0.49857422219898667
2,5,0.5010292600195163
2,6,0.5029037712223378
2,7,0.5043893981694938
2,8,0.5055979569687025
2,9,0.506600771219273
2,10,0.5074461722341082
2,11,0.5081683392491392
2,12,0.5087922168333464
2,13,0.5093364635573381
2,14,0.5098153177425536
2,15,0.5102398327686191
2,16,0.510618715526182
2,17,0.5109589168711913
2,18,0.5112660501724391
2,19,0.5115446970792773
2,20,0.5117986331738096
2,21,0.5120309970244465
3,2,0.3523020005992106
3,3,0.33267479776517556
3,4,0.31891894176886054
3,5,0.4700822536928183
3,6,0.4984070309878368
3,7,0.5001815619554251
3,8,0.501653845848102
3,9,0.5028951625295599
3,10,0.5039556091858326
3,11,0.5048717046411825
3,12,0.505670783906655
3,13,0.5063737311711167
3,14,0.5069967774713843
3,15,0.507552721536516
3,16,0.5080517855069545
3,17,0.5085022290322548
3,18,0.5089107951520786
3,19,0.5092830412135027
3,20,0.5096235872644833
3,21,0.5099363045690349
4,2,0.3647698502457975
4,3,0.34607153401744867
4,4,0.332351794854163
4,5,0.32160602120577503
4,6,0.3131286980494156
4,7,0.4968349527738363
4,8,0.49845951915332903
4,9,0.49984850276389964
4,10,0.5010488716598148
4,11,0.5020961652970054
4,12,0.5030175827706673
4,13,0.5038343002649651
4,14,0.5045630399355742
4,15,0.5052171797572605
4,16,0.5058075388118589
4,17,0.5063429571326217
4,18,0.5068307234738612
4,19,0.50727689976633
4,20,0.507686566839846
4,21,0.5080640139937656
5,2,0.3738411864206655
5,3,0.35626734046712527
5,4,0.3429144272021566
5,5,0.3321827462500439
5,6,0.32331091397737466
5,7,0.31579846195285693
5,8,0.3910302251777634
5,9,0.4972380830846409
5,10,0.49853169595498226
5,11,0.4996702547991131
5,12,0.5006796965693576
5,13,0.5015805396587444
5,14,0.5023892317080092
5,15,0.5031190980139545
5,16,0.5037810387886267
5,17,0.5043840526046147
5,18,0.50493562743974
5,19,0.5054420432670396
5,20,0.5059086037217093
5,21,0.5063398175176388
6,2,0.38081873740791217
6,3,0.36436596104099805
6,4,0.3515186027045648
6,5,0.3409733958613495
6,6,0.33210822163991055
6,7,0.32453660197889717
6,8,0.31796139655113265
6,9,0.31536618376527653
6,10,0.49605110285009296
6,11,0.49751588146708914
6,12,0.4985887448168644
6,13,0.4995520694467176
6,14,0.5004216240841158
6,15,0.5012103259760828
6,16,0.5019288532648818
6,17,0.5025861050847977
6,18,0.5031895491368216
6,19,0.5037454973354605
6,20,0.5042593180525112
6,21,0.5047356047368604
7,2,0.38636892722998734
7,3,0.37096720008135176
7,4,0.3586731293142531
7,5,0.34840504090120206
7,6,0.3396481826966657
7,7,0.3320801140293093
7,8,0.325471161110375
7,9,0.3196287130402194
7,10,0.3147855210321124
7,11,0.49404554432110154
7,12,0.49670376408604067
7,13,0.497713157047398
7,14,0.49862881862363345
7,15,0.49946311930885584
7,16,0.5002263357507029
7,17,0.5009271101253799
7,18,0.5015727504161656
7,19,0.5021694783478646
7,20,0.5027226204828106
7,21,0.5032367621161508
8,2,0.39089001900956677
8,3,0.3764497434470222
8,4,0.3647127755380461
8,5,0.354765891105881
8,6,0.3461786117224698
8,7,0.3386791624231413
8,8,0.33207263017460953
8,9,0.3262069290192998
8,10,0.3209450581295218
8,11,0.3162508247323795
8,12,0.4213417271162652
8,13,0.4960381480185633
8,14,0.4969884321051978
8,15,0.49785776154222794
8,16,0.49865605273375163
8,17,0.4993915951647213
8,18,0.5000714508615409
8,19,0.5007016723160957
8,20,0.5012874730160254
8,21,0.5018333666500119
9,2,0.3946420210916799
9,3,0.381072369297282
9,4,0.36987492994256027
9,5,0.3602667828742264
9,6,0.351884067441426
9,7,0.3444962759812823
9,8,0.33793606270265963
9,9,0.33207378080237904
9,10,0.3268037400357487
9,11,0.32203015302546334
9,12,0.31766769203555334
9,13,0.4511239337574391
9,14,0.4953418663284363
9,15,0.4963784133744588
9,16,0.4972039386178471
9,17,0.49796703792857644
9,18,0.49867447083818955
9,19,0.49933207267040763
9,20,0.4999448977826969
9,21,0.5005173445851782
10,2,0.3978039545264256
10,3,0.38501996731768373
10,4,0.3743345740822911
10,5,0.36506736623196284
10,6,0.3569076186830795
10,7,0.34965853388173485
10,8,0.3431758616174232
10,9,0.33734646633311377
10,10,0.3320785482295096
10,11,0.32728946792214914
10,12,0.3228961494769749
10,13,0.31896096914252464
10,14,0.3867754438733018
10,15,0.49500015890940924
10,16,0.4958579395298015
10,17,0.49664262672779863
10,18,0.4973720911984545
10,19,0.49805192681560995
10,20,0.4986869945698904
10,21,0.4992815516773473
11,2,0.4005035660575424
11,3,0.38842850634101345
11,4,0.3782237866693808
11,5,0.36929093203423563
11,6,0.3613620134192085
11,7,0.3542679023198678
11,8,0.34788370975972943
11,9,0.34211036535734757
11,10,0.3368664454592492
11,11,0.33208365436412984
11,12,0.32770095667041826
11,13,0.32366061745495633
11,14,0.31988933237299544
11,15,0.4819284351132511
11,16,0.4946074760213764
11,17,0.4954018998988891
11,18,0.4961556570872046
11,19,0.4968533794866861
11,20,0.4975066234315436
11,21,0.498119486485159
12,2,0.4028344923371573
12,3,0.3914001671932384
12,4,0.3816440283251951
12,5,0.37303405172082754
