Generations no drug,Generations drug,MM fraction
2,2,0.489923361955242
2,3,0.4951631831501901
2,4,0.49857417884945393
2,5,0.5010292579779081
2,6,0.5029037714295693
2,7,0.5043893979656229
2,8,0.5055979567644361
2,9,0.5066007711228088
2,10,0.5074461721965886
2,11,0.5081683392509381
2,12,0.5087922167967155
2,13,0.509336463507925
2,14,0.5098153177196947
2,15,0.510239832712002
2,16,0.5106187155562835
2,17,0.5109589168722235
2,18,0.5112660501641383
2,19,0.5115446970552887
2,20,0.5117986331442742
2,21,0.5120309970301111
3,2,0.32037931983536844
3,3,0.48979034985365577
3,4,0.49345678284240846
3,5,0.4962234120173925
3,6,0.49840704708206257
3,7,0.5001815596790762
3,8,0.5016538447435459
3,9,0.5028951622455465
3,10,0.5039556090798166
3,11,0.5048717046436378
3,12,0.5056707838347545
3,13,0.5063737311123129
3,14,0.5069967774317785
3,15,0.5075527214329558
3,16,0.5080517855362774
3,17,0.5085022290341833
3,18,0.5089107951422994
3,19,0.5092830411844946
3,20,0.5096235872482995
3,21,0.5099363045771196
4,2,0.33778236436606995
4,3,0.30869669838697256
4,4,0.4897137014106837
4,5,0.4925834779924652
4,6,0.4949073607113813
4,7,0.49683432984884307
4,8,0.4984595008395018
4,9,0.4998485011907307
4,10,0.5010488712873029
4,11,0.5020961653095017
4,12,0.5030175826692782
4,13,0.5038343001651001
4,14,0.5045630398603124
4,15,0.5052171796465831
4,16,0.5058075388658311
4,17,0.5063429571358322
4,18,0.5068307234613196
4,19,0.5072768997491862
4,20,0.507686566820501
4,21,0.5080640140024095
5,2,0.3503391878787078
5,3,0.3231257865613565
5,4,0.3013446100722212
5,5,0.48966176593241517
5,6,0.4920385288627877
5,7,0.49404250495072083
5,8,0.4957561816071544
5,9,0.49723808369966865
5,10,0.49853169286454624
5,11,0.4996702548343839
5,12,0.5006796962795065
5,13,0.5015805394602222
5,14,0.5023892316233831
5,15,0.503119097801851
5,16,0.503781038874566
5,17,0.5043840526106702
5,18,0.5049356274317399
5,19,0.5054420432462675
5,20,0.5059086037024404
5,21,0.506339817527482
6,2,0.3599816416818308
6,3,0.3345713375351592
6,4,0.31413953648485404
6,5,0.3410328458136985
6,6,0.4896246423847436
6,7,0.4916597202763693
6,8,0.49342075943315006
6,9,0.4949591956713206
6,10,0.4963140874889395
6,11,0.4975158848592887
6,12,0.49858874276288695
6,13,0.49955206915650857
6,14,0.5004216239183243
6,15,0.5012103256490433
6,16,0.501928853425412
6,17,0.5025861050927604
6,18,0.5031895491260318
6,19,0.5037454973153962
6,20,0.5042593180303618
6,21,0.5047356047481495
7,2,0.36765529793245944
7,3,0.3439124017242831
7,4,0.3244302190369402
7,5,0.30790718055799393
7,6,0.48755098430465943
7,7,0.4895971766563635
7,8,0.49137818718485976
7,9,0.4929480011143263
7,10,0.4943413857168494
7,11,0.49558591762190535
7,12,0.49670381033399397
7,13,0.4977131547865433
7,14,0.49862881835616646
7,15,0.49946311869668863
7,16,0.5002263359437886
7,17,0.500927110138043
7,18,0.5015727504053311
7,19,0.5021694783244082
7,20,0.5027226204573536
7,21,0.5032367621772039
8,2,0.3739123240290657
8,3,0.35168333812828434
8,4,0.33313385176053517
8,5,0.31722469362657574
8,6,0.3031785714288801
8,7,0.48779364367747285
8,8,0.4895760501586314
8,9,0.4911594895990751
8,10,0.49257478465246646
8,11,0.49384675782934334
8,12,0.494995683672901
8,13,0.49603827842933024
8,14,0.4969884309635935
8,15,0.49785776120296155
8,16,0.49865605305221977
8,17,0.49939159521877163
8,18,0.5000714508462923
8,19,0.5007016722886655
8,20,0.5012874730589478
8,21,0.5018333668782836
9,2,0.37911003759958817
9,3,0.3582453085936778
9,4,0.34058619301040954
9,5,0.3252630011992679
9,6,0.3117960230544172
9,7,0.40437883588713186
9,8,0.4879748037818806
9,9,0.4895592252688036
9,10,0.4909842424596007
9,11,0.4922721308276478
9,12,0.4934413163930061
9,13,0.494507163537522
9,14,0.49548256690999215
9,15,0.49637841233817914
9,16,0.49720394050889694
9,17,0.49796703799828745
9,18,0.4986744708159833
9,19,0.4993320727369044
9,20,0.49994489778641066
9,21,0.500517344519531
10,2,0.38349398424777514
10,3,0.3638560485393962
10,4,0.34703373098575235
10,5,0.332287839021326
10,6,0.3192355172721931
10,7,0.3074346859657836
10,8,0.48654333513090986
10,9,0.48811971534052073
10,10,0.4895454546640611
10,11,0.4908405243618103
10,12,0.49202163377273533
10,13,0.49310286114783275
10,14,0.4940961319380506
10,15,0.4950115980824192
10,16,0.49585794251161425
10,17,0.49664262682632904
10,18,0.4973720927938991
10,19,0.49805192682884536
10,20,0.4986869945589697
10,21,0.49928155153329384
11,2,0.38723950657461437
11,3,0.3687055152179725
11,4,0.3526631454767451
11,5,0.33847592565784157
