Generations no drug,Generations drug,MM number
2,2,30.880139270865016
2,3,30.77515984384167
2,4,30.976468817892425
2,5,31.22165589505511
2,6,31.45208023221324
2,7,31.65558078573111
2,8,31.83220686383238
2,9,31.985092105602977
2,10,32.11779685229773
2,11,32.23354809000378
2,12,32.33507412735274
2,13,32.42462461296058
2,14,32.50404026956113
2,15,32.574827258288565
2,16,32.6382226120982
2,17,32.69524789311913
2,18,32.746752011484425
2,19,32.79344499475209
2,20,32.83592451299968
2,21,32.87469686597577
3,2,31.783780833045718
3,3,31.04785312477536
3,4,30.941838305667765
3,5,31.032048022108164
3,6,31.184130484810275
3,7,31.35009189225321
3,8,31.51179319454209
3,9,31.66258961405676
3,10,31.800541144629825
3,11,31.925671287839975
3,12,32.038793867535205
3,13,32.14099433657668
3,14,32.23339911256555
3,15,32.31707650417504
3,16,32.39299883116934
3,17,32.462033024375735
3,18,32.52494395229752
3,19,32.58240322115172
3,20,32.634999417567826
3,21,32.683248430737926
4,2,32.92908533294744
4,3,31.677430408879655
4,4,31.268565268975095
4,5,31.17906765844878
4,6,31.22250997596938
4,7,31.32216053527002
4,8,31.443576607856993
4,9,31.57051180184489
4,10,31.695169842630808
4,11,31.813892359507815
4,12,31.92511858229703
4,13,32.028370057418016
4,14,32.12372586815781
4,15,32.21154395444162
4,16,32.292310617746885
4,17,32.36655875048142
4,18,32.43482378543763
4,19,32.49762051512063
4,20,32.55543194373322
4,21,32.608704573453494
5,2,34.10059643503755
5,3,32.46159948659957
5,4,31.79205149856876
5,5,31.53179564753309
5,6,31.46257988694948
5,7,31.487101800179122
5,8,31.558042969690764
5,9,31.651003090841158
5,10,31.75291104964709
5,11,31.856619408605976
5,12,31.95821175127507
5,13,32.05559024142167
5,14,32.14770354443626
5,15,32.23411047818006
5,16,32.314726809908876
5,17,32.38967511679147
5,18,32.45919441781593
5,19,32.52358508881017
5,20,32.583175291173745
5,21,32.6383003250311
6,2,35.218823909360786
6,3,33.300760750538046
6,4,32.41955708923588
6,5,32.00966488792434
6,6,31.835590814461565
6,7,31.78630903296411
6,8,31.804965085270684
6,9,31.86068676434672
6,10,31.935991838135593
6,11,32.02068873227601
6,12,32.10872996782567
6,13,32.19650501553283
6,14,32.28187532105399
6,15,32.36360984032376
6,16,32.441045555575656
6,17,32.5138781004898
6,18,32.582030146793265
6,19,32.645567197431156
6,20,32.70464299480481
6,21,32.75946378614065
7,2,36.2565625319723
7,3,34.144106890112965
7,4,33.09686625188788
7,5,32.56151704402732
7,6,32.29519843017312
7,7,32.178371621676824
7,8,32.14744368040201
7,9,32.16661541380541
7,10,32.21486859499126
7,11,32.27947289100805
7,12,32.352545259379646
7,13,32.42913588301045
7,14,32.5061202902637
7,15,32.5815357012243
7,16,32.65417235368163
7,17,32.72331530188439
7,18,32.78857787345434
7,19,32.849792191121374
7,20,32.906936121211835
7,21,32.960083752176416
8,2,37.207962906892604
8,3,34.96557674776959
8,4,33.79156847325428
8,5,33.15415759389237
8,6,32.80958407183652
8,7,32.63359372008489
8,8,32.55805856635041
8,9,32.543552606108676
8,10,32.566305555992436
8,11,32.61153061649484
8,12,32.66981091731371
8,13,32.735048750858645
8,14,32.80325637231155
8,15,32.87181833725687
8,16,32.939029357783966
8,17,33.00379705138015
8,18,33.06544684974238
8,19,33.12359136733943
8,20,33.178041485164286
8,21,33.22874468286283
9,2,38.075968552441346
9,3,35.75222550660547
9,4,34.48409535135813
9,5,33.765735058721596
9,6,33.35660466931663
9,7,33.13043649883491
9,8,33.01624922937734
9,9,32.972039064581004
9,10,32.971947251249446
9,11,32.99955754503149
9,12,33.044198560670544
9,13,33.09881022085224
9,14,33.15866603772147
9,15,33.220582728961226
9,16,33.282417653579564
9,17,33.342741382356
9,18,33.40061976082032
9,19,33.45546590892563
9,20,33.50693798630264
9,21,33.55486765003146
10,2,38.86690782128023
10,3,36.49826123926932
10,4,35.162673066594984
10,5,34.381750692040484
10,6,33.920705991720865
10,7,33.65314382161106
10,8,33.506490342007176
10,9,33.436990386213076
10,10,33.41724171775081
10,11,33.42956231276126
10,12,33.462272344673046
10,13,33.50751806941496
10,14,33.55995153631892
10,15,33.61590387125196
10,16,33.672853647954504
10,17,33.72907648124023
10,18,33.78340918520791
10,19,33.83508786132316
10,20,33.88363481215153
10,21,33.92877839870097
11,2,39.5880978306875
11,3,37.20184781829071
11,4,35.82036696490436
11,5,34.99257422688494
11,6,34.49090230232256
11,7,34.19012181133667
11,8,34.01699807381342
11,9,33.92666657465238
11,10,33.89062113518904
11,11,33.89021680987523
11,12,33.91297614252229
11,13,33.95040008655085
11,14,33.99662485263905
11,15,34.04757207141049
11,16,34.100396804976555
11,17,34.15312040460178
11,18,34.204380908798626
11,19,34.25326020815011
11,20,34.299162088611006
11,21,34.34172519349429
12,2,40.24678671460662
12,3,37.8633327248508
12,4,36.45329546232503
12,5,35.591853435294134
12,6,35.05942491743975
12,7,34.73281168035956
12,8,34.53879877993857
12,9,34.43190584061287
12,10,34.38287330273187
12,11,34.37234208184194
12,12,34.38721465710578
12,13,34.41847451952356
12,14,34.45983494895874
12,15,34.506876241032884
12,16,34.55648042764295
12,17,34.60645241006207
12,18,34.65525997475331
12,19,34.70185253245949
12,20,34.7455324525256
12,21,34.7858614535803
13,2,40.84971172825758
13,3,38.48424057001916
13,4,37.059521805532256
13,5,36.17547244326259
13,6,35.620798563112466
13,7,35.2748923819333
13,8,35.06504906433992
13,9,34.94554876493084
13,10,34.886655934812076
13,11,34.86849989654741
13,12,34.87751106751966
13,13,34.90426430185931
13,14,34.942130406474064
13,15,34.986408334431836
13,16,35.033752334925126
13,17,35.08178478063025
13,18,35.12882959788446
13,19,35.1737239577199
13,20,35.21568418071225
13,21,35.254207915127225
14,2,41.402945227387605
14,3,39.06669236204004
14,4,37.63835246848747
14,5,36.74085614287913
14,6,36.17119998947169
14,7,35.81170792485911
14,8,35.5905335566374
14,9,35.46200151067906
14,10,35.396118739253275
