Generations no drug,Generations drug,MM number
2,2,37.83886619802772
2,3,35.83089067388282
2,4,35.05228204841817
2,5,34.80355926703572
2,6,34.80229344208097
2,7,34.920063755520644
2,8,35.09395689625624
2,9,35.29165976290123
2,10,35.49613210649043
2,11,35.698330203777545
2,12,35.893544996762174
2,13,36.07947298975341
2,14,36.25516393999179
2,15,36.420427518457736
2,16,36.575496001605416
2,17,36.72082619893701
2,18,36.85698392713202
2,19,36.98457655720128
2,20,37.10421324238329
2,21,37.21648341200658
3,2,40.8175885889042
3,3,37.92744724746258
3,4,36.41523344068273
3,5,35.6099112329826
3,6,35.195533764691476
3,7,35.00791952514571
3,8,34.95582373695878
3,9,34.986010438526634
3,10,35.06627043552464
3,11,35.17657402603822
3,12,35.30420914352585
3,13,35.44099252250472
3,14,35.581612051590966
3,15,35.72261235933634
3,16,35.861757779864355
3,17,35.99762445019596
3,18,36.12933308982685
3,19,36.25637299545138
3,20,36.378482568581425
3,21,36.4955688687323
4,2,43.27909072762551
4,3,39.99741378051524
4,4,38.0463934402066
4,5,36.85026950621053
4,6,36.11021539080389
4,7,35.6577989987439
4,8,35.39244645706626
4,9,35.25145884180826
4,10,35.19441682865516
4,11,35.19455848353127
4,12,35.2337774534364
4,13,35.29960717409168
4,14,35.38334153322174
4,15,35.47883239219927
4,16,35.581701114873525
4,17,35.688811115888804
4,18,35.797908556576175
4,19,35.90737351138424
4,20,36.01604595089771
4,21,36.123101620606356
5,2,45.25908154963522
5,3,41.84037289572631
5,4,39.64399122943154
5,5,38.19086925853444
5,6,37.214277422073266
5,7,36.5548149929548
5,8,36.112347106297285
5,9,35.8215394864956
5,10,35.63846665369401
5,11,35.53286669330011
5,12,35.483465181470024
5,13,35.475050587004866
5,14,35.49658988852086
5,15,35.53998403079382
5,16,35.59922703870135
5,17,35.66982774126167
5,18,35.7484047467801
5,19,35.8323986117015
5,20,35.919864672134864
5,21,36.009321999481486
6,2,46.86171897175191
6,3,43.43796853222451
6,4,41.11689627362607
6,5,39.50194691969656
6,6,38.36015000833108
6,7,37.54583182865607
6,8,36.96382569318106
6,9,36.54984136725943
6,10,36.25926656665673
6,11,36.06045284055294
6,12,35.93052772780129
6,13,35.85269816790088
6,14,35.81446737349382
6,15,35.80642607790853
6,16,35.82141857706373
6,17,35.85395531114511
6,18,35.89979355589734
6,19,35.955633545493974
6,20,36.01889508028003
6,21,36.08755217651662
7,2,48.17651051862358
7,3,44.81618958690346
7,4,42.44531942655599
7,5,40.734197136341855
7,6,39.48071289123189
7,7,38.55379946088174
7,8,37.865076482544744
7,9,37.35313927551378
7,10,36.97428505954431
7,11,36.696780474224795
7,12,36.49718950866788
7,13,36.3579500409006
7,14,36.26573372821092
7,15,36.210314864083344
7,16,36.18377151940134
7,17,36.179914560858755
7,18,36.193873395370275
7,19,36.22179021479429
7,20,36.26059208006347
7,21,36.307819938594335
8,2,49.27075266207392
8,3,46.008517540085194
8,4,43.63443890544115
8,5,41.87215251828687
8,6,40.546305644870166
8,7,39.53970770316369
8,8,38.771224908510426
8,9,38.183153099144384
8,10,37.73354823132294
8,11,37.39136218451508
8,12,37.13325189059263
8,13,36.94143007841753
8,14,36.80218320318294
8,15,36.70482832738562
8,16,36.64096858679986
8,17,36.60395049207032
8,18,36.58846368051669
8,19,36.59024461291899
8,20,36.605850465491464
8,21,36.63248804007853
9,2,50.19378688811701
9,3,47.04583436815133
9,4,44.69749443773867
9,5,42.91490675938576
9,6,41.5454121669885
9,7,40.48437063507759
9,8,39.657698556024506
9,9,39.01164463361638
9,10,38.506430111216424
9,11,38.11212286525622
9,12,37.805876148038706
9,13,37.57003328275421
9,14,37.39079898757716
9,15,37.25729113799729
9,16,37.1608511766277
9,17,37.09453848616187
9,18,37.05275155428825
9,19,37.03094151878617
9,20,37.02539625284764
9,21,37.033071513351835
10,2,50.98190464863104
10,3,47.95418247814991
10,4,45.64937666602998
10,5,43.86766024034295
10,6,42.475459658909074
10,7,41.37921917553949
10,8,40.51141445324124
10,9,39.822200578491284
10,10,39.274110477815285
10,11,38.838547888477684
10,12,38.49339793646438
10,13,38.2213598924906
10,14,38.00876110258139
10,15,37.84469837730651
10,16,37.720407409803485
10,17,37.62879179609264
10,18,37.56407016828725
10,19,37.5215050832204
10,20,37.49719370092473
10,21,37.487908315535385
11,2,51.662123625951395
11,3,48.754859466025316
11,4,46.50423631407105
11,5,44.73788154140905
11,6,43.33824453420858
11,7,42.22144626559577
11,8,41.325922345925235
11,9,40.605535627609626
11,10,40.0251283682417
11,11,39.55752930394204
11,12,39.18148217909378
11,13,38.880179155744315
11,14,38.640203051024805
11,15,38.4507527258647
11,16,38.30306725120966
11,17,38.18999254396379
11,18,38.10565082114346
11,19,38.045188155165675
11,20,38.00457522400229
11,21,37.98045377359078
12,2,52.254855618745346
12,3,49.46512024718083
12,4,47.27469583492619
12,5,45.53354526994664
12,6,44.13759308968126
12,7,43.011364559743164
12,8,42.098641169273336
12,9,41.35672617217841
12,10,40.752685726614715
12,11,40.260783578423904
12,12,39.860678714371424
12,13,39.536133278373306
12,14,39.274069043094855
12,15,39.06386902037644
12,16,38.89685280751127
12,17,38.76587813287271
12,18,38.66503422679535
12,19,38.58940577891351
12,20,38.53488518589809
12,21,38.498026864706326
13,2,52.7757542949331
13,3,50.09894079902
13,4,47.97170527248954
13,5,46.2623411090732
13,6,44.87814588465204
13,7,43.75093355396887
13,8,42.829247259419745
13,9,42.07353963462749
13,10,41.45297342783447
13,11,40.94321000694868
13,12,40.524835544228694
13,13,40.18221936149242
13,14,39.90267146450814
13,15,39.67581201611419
13,16,39.49309381949465
13,17,39.34743633027126
13,18,39.23294245237431
13,19,39.144676294273886
13,20,39.07848993591515
13,21,39.03088375874292
14,2,53.23699672752976
14,3,50.66768576447748
14,4,48.60464628777737
14,5,46.931346542922014
14,6,45.564726850722174
14,7,44.44292594615891
14,8,43.51871436304556
14,9,42.7554049757457
14,10,42.124110737873984
14,11,41.60182666760696
14,12,41.170050174515104
14,13,40.813768716800325
14,14,40.52070580595311
14,15,40.28075126625449
14,16,40.085526247407124
14,17,39.92804696211945
14,18,39.80246283828135
14,19,39.703850054746674
14,20,39.628047682735655
14,21,39.57152785586052
15,2,53.64818704679336
15,3,51.18065045150744
15,4,49.18151808708074
15,5,47.54692283242617
15,6,46.20202190105125
15,7,45.090453192091
15,8,44.168735603659655
15,9,43.402768069461125
15,10,42.765462299531684
15,11,42.23506953669021
15,12,41.793965389473264
15,13,41.42774936236897
15,14,41.124567606868126
15,15,40.874597604042236
15,16,40.66965077631361
15,17,40.502864154620426
15,18,40.3684576910036
15,19,40.26154244971395
15,20,40.17796679217951
15,21,40.114194515386174
16,2,54.01698830395863
16,3,51.64548844379554
16,4,49.709135496492735
16,5,48.11471610005985
16,6,46.79442569573846
16,7,45.69669644360285
16,8,44.78137165379311
16,9,44.01668302450802
16,10,43.37719234450355
16,11,42.84232405254697
16,12,42.39528985035655
16,13,42.02228383132946
16,14,41.71187332104539
16,15,41.45453083591942
16,16,41.24227120547787
16,17,41.068367821036496
16,18,40.92712791682485
16,19,40.8137142053657
16,20,40.7240008996835
16,21,40.654458826294594
17,2,54.34958646637997
17,3,52.06854539007984
17,4,50.19331295744775
17,5,48.639705605979096
17,6,47.34597875426508
17,7,46.264757291870694
17,8,45.358836790726215
17,9,44.5985505835627
17,10,43.959969985913126
17,11,43.42360891946226
17,12,42.973467775482675
17,13,42.596311622319654
17,14,42.28111999967908
17,15,42.01866098909821
17,16,41.80115910722554
17,17,41.62203359977673
17,18,41.4756903431282
17,19,41.357355754918245
17,20,41.26294235681698
17,21,41.18893925746221
18,2,54.65102769637705
18,3,52.45511863283468
18,4,50.63902497133893
18,5,49.12626980997396
18,6,47.86035326246192
18,7,46.7975796640013
18,8,45.90336961873515
18,9,45.14995132014605
18,10,44.51477409894363
18,11,43.979360067932035
18,12,43.528449246983385
18,13,43.14935027751736
18,14,42.83144144166596
18,15,42.56578204228389
18,16,42.34480767862562
18,17,42.16208855080094
18,18,42.01213656723215
18,19,41.89025028246336
18,20,41.792389121640326
18,21,41.715070243214846
19,2,54.925466903461086
19,3,52.80966004253102
19,4,51.05054180457503
19,5,49.57825591824119
19,6,48.34086412983065
19,7,47.29791076666803
19,8,46.41715655658823
19,9,45.672538234500486
19,10,45.04276264243134
19,11,44.51028252297933
19,12,44.06052905249705
19,13,43.68132530164307
19,14,43.36243184757845
19,15,43.09519167870243
19,16,42.87224958152747
19,17,42.68732861624137
19,18,42.53505101404229
19,19,42.41079305690945
19,20,42.31056750374996
19,21,42.23092647107376
20,2,55.17635496540995
20,3,53.135934804327356
20,4,51.43154310794674
20,5,49.99904624734729
20,6,48.79049221517994
20,7,47.76828915603351
20,8,46.90228838746091
20,9,46.16796892146043
20,10,45.54518529634161
20,11,45.01724826770327
20,12,44.57023326098025
20,13,44.192447872206756
20,14,43.87401730012819
20,15,43.60655859771613
20,16,43.382921466984186
20,17,43.196981428375956
20,18,43.04347292833178
20,19,42.91785363175937
20,20,42.8161941258775
20,21,42.73508669027537
21,2,55.40658101945208
21,3,53.43714692487837
21,4,51.78521218898101
21,5,50.39161831605277
21,6,49.21191363519527
21,7,48.211045633760826
21,8,47.360737358064696
21,9,46.63786336846746
21,10,46.02332558781635
21,11,45.50122573196606
21,12,45.05823845264155
21,13,44.6831266606311
21,14,44.36636181327326
21,15,44.099823923207296
21,16,43.876562031027
21,17,43.6906020971692
21,18,43.53679094174458
21,19,43.41066965366902
21,20,43.30836970956376
21,21,43.22652690595991
